WBAN,Name,State,Location,Latitude,Longitude,StationHeight,Barometer,TimeZone
13880,CHARLESTON,SC,CHARLESTON AFB/INTERNATIONAL AIRPORT,32.8986,-80.0402,14.63,1625.47,-5
13881,CHARLOTTE,NC,CHARLOTTE/DOUGLAS INTERNATIONAL AP,35.2236,-80.9552,234.39,24517.46,-5
13882,CHATTANOOGA,TN,LOVELL FIELD AIRPORT,35.03111,-85.20139,209.7,23399.95,-5
13883,COLUMBIA,SC,COLUMBIA METROPOLITAN AIRPORT,33.9419,-81.1181,68.58,8228.93,-5
13884,CRESTVIEW,FL,BOB SIKES AIRPORT,30.77972,-86.5225,56.39,6264.82,-6
13886,GREENVILLE,SC,GREENVILLE DOWNTOWN ARPT,34.846109999999996,-82.34611,319.43,35116.86,-5
13889,JACKSONVILLE,FL,JACKSONVILLE INTERNATIONAL AIRPORT,30.495,-81.6936,9.75,1151.37,-5
13891,KNOXVILLE,TN,MC GHEE TYSON AIRPORT,35.8181,-83.9858,298.7,33254.35,-5
13893,MEMPHIS,TN,MEMPHIS INTERNATIONAL AIRPORT,35.0564,-89.9865,101.19,9685.08,-6
13894,MOBILE,AL,MOBILE REGIONAL AIRPORT,30.68833,-88.24556,67.36,7179.15,-6
13895,MONTGOMERY,AL,MONTGOMERY RGNL (DANNELLY FD) AP,32.29972,-86.4075,61.57,7788.7,-6
13896,MUSCLE SHOALS,AL,NORTH WEST ALABAMA REGIONAL AIRPORT,34.7441,-87.5997,171.3,18388.1,-6
13897,NASHVILLE,TN,NASHVILLE INTERNATIONAL AIRPORT,36.1188,-86.6891,184.4,19437.88,-6
13899,PENSACOLA,FL,PENSACOLA REGIONAL AIRPORT,30.47806,-87.18694,35.97,4300.72,-6
13902,ALTUS,OK,ALTUS AFB AIRPORT,34.65,-99.26666999999999,421.23,0.0,-6
13904,AUSTIN/BERGSTROM,TX,AUSTIN-BERGSTROM INTL AIRPORT,30.1831,-97.6799,150.88,22384.04,-6
13909,ENID,OK,VANCE AIR FORCE BASE,36.33333,-97.91667,398.37,0.0,-6
13910,ABILENE,TX,DYESS AIR FORCE BASE,32.43333,-99.85,545.29,0.0,-6
13911,FORT WORTH,TX,FORT WORTH NAVAL AIR STATION JRB/CARSWELL FIELD,32.76667,-97.45,198.12,,-6
13919,OKLAHOMA CITY,OK,TINKER AFB AIRPORT,35.41667,-97.38333,393.5,0.0,-6
13920,TOPEKA,KS,FORBES FIELD AIRPORT,38.95028,-95.66389000000001,328.88,36132.78,-6
13925,STUTTGART,AR,STUTTGART MUNICIPAL ARPT,34.60028,-91.57444,68.28,,-6
13926,GREENVILLE,TX,MAJORS AIRPORT,33.06778,-96.06528,163.07,0.0,-6
13927,JACKSON,MS,HAWKINS FIELD AIRPORT,32.33667,-90.22139,104.24,10565.54,-6
13930,KNOB NOSTER,MO,WHITEMAN AFB AIRPORT,38.71667,-93.55,265.48,0.0,-6
13932,WINFIELD/ARKANSAS CITY,KS,STROTHER FIELD AIRPORT,37.16806,-97.03694,353.57,39011.21,-6
13935,ALEXANDRIA,LA,ESLER REGIONAL AIRPORT,31.39278,-92.29556,35.97,3284.8,-6
13939,GREENVILLE,MS,MID DELTA REGIONAL AIRPORT,33.4825,-90.98528,39.32,5079.58,-6
13940,GREAT BEND,KS,GREAT BEND MUNICIPAL ARPT,38.35,-98.86667,574.85,,-6
13941,LAKE CHARLES,LA,CHENNAULT INTERNATIONAL AP,30.210279999999997,-93.14333,5.18,,-6
13942,MONROE,LA,MONROE REGIONAL AIRPORT,32.5155,-92.0405,24.69,4503.9,-6
13944,BOSSER CITY,LA,BARKSDALE AIR FORCE BASE,32.5,-93.66667,50.6,0.0,-6
13945,FORT SILL,OK,HENRY POST AAF AIRPORT,34.65,-98.4,362.1,0.0,-6
13947,FORT RILEY (JUNCTION CITY),KS,MARSHALL ARMY AIRFIELD,39.05,-96.76666999999999,324.0,,-6
13957,SHREVEPORT,LA,SHREVEPORT REGIONAL AIRPORT,32.4472,-93.8244,78.94,9278.71,-6
13958,AUSTIN/CITY,TX,CAMP MABRY ARMY NATIONAL GUARD,30.3208,-97.7604,200.56,23569.27,-6
13959,WACO,TX,WACO REGIONAL AIRPORT,31.618890000000004,-97.22833,154.84,17473.77,-6
13960,DALLAS,TX,DALLAS LOVE FIELD AIRPORT,32.8519,-96.8555,148.74,17338.32,-6
13961,FORT WORTH,TX,FT WORTH MEACHAM INTL ARPT,32.81917,-97.36139,215.19,23874.05,-6
13962,ABILENE,TX,ABILENE REGIONAL AIRPORT,32.4105,-99.6822,545.59,60514.79,-6
13963,LITTLE ROCK,AR,ADAMS FIELD AIRPORT,34.7273,-92.2389,78.33,9888.26,-6
13964,FORT SMITH,AR,FORT SMITH REGIONAL AIRPORT,35.333,-94.3625,140.82,16254.67,-6
13966,WICHITA FALLS,TX,SHEPPARD AFB/WICHITA FALLS MUNI AP,33.9786,-98.4928,313.94,34304.13,-6
13967,OKLAHOMA CITY,OK,WILL ROGERS WORLD AIRPORT,35.3889,-97.6006,397.46,43481.25,-6
13968,TULSA,OK,TULSA INTERNATIONAL AIRPORT,36.1994,-95.8872,206.04,25127.01,-6
13969,PONCA CITY,OK,PONCA CITY REGIONAL ARPT,36.736670000000004,-97.10194,304.19,34304.13,-6
13970,BATON ROUGE,LA,BATON ROUGE METRO RYAN FIELD AIRPORT,30.5372,-91.1469,23.16,2370.47,-6
13971,HARRISON,AR,BOONE COUNTY AIRPORT,36.2668,-93.1566,422.15,46732.18,-6
13972,TYLER,TX,TYLER POUNDS REGIONAL ARPT,32.35417,-95.4025,167.94,17981.73,-6
13973,JUNCTION,TX,KIMBLE COUNTY AIRPORT,30.51083,-99.76639,533.1,57805.68,-6
13975,GAGE,OK,GAGE AIRPORT,36.2967,-99.7689,671.17,74331.26,-6
13976,LAFAYETTE,LA,LAFAYETTE REGIONAL AIRPORT,30.205,-91.9875,12.8,1388.42,-6
13977,TEXARKANA,AR,TEXARKANA REGIONAL AIRPORT-WEBB FIELD,33.4536,-94.0074,121.62,13342.38,-6
13978,GREENWOOD,MS,GREENWOOD-LEFLORE AIRPORT,33.4963,-90.0866,40.54,5045.72,-6
13981,CHANUTE,KS,CHANUTE MARTIN JOHNSON APT,37.67028,-95.48416999999999,308.15,33118.89,-6
13984,CONCORDIA,KS,BLOSSER MUNICIPAL AIRPORT,39.5514,-97.6508,452.32,49847.66,-6
13985,DODGE CITY,KS,DODGE CITY REGIONAL AIRPORT,37.7686,-99.9678,790.04,87707.5,-6
13986,HUTCHINSON,KS,HUTCHINSON MUNICIPAL ARPT,38.06528,-97.86055999999999,470.0,51981.09,-6
